Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"C1, C14",0603,2,22uF,
C10,0201,1,22pF,
"C11, C12, C13, C15, C17, C18, C19, C2, C21, C22, C23, C24, C25, C28, C29, C31, C32, C34, C35, C36, C37, C39, C4, C40, C41, C43, C44, C45, C46, C47, C5, C7, C8",0201,33,0.1uF,
"C16, C27, C3, C30, C38, C6",0201,6,0.01uF,
"C20, C33, C42, C9",0402,4,1uF,
"D1, D4",D_SOD-523,2,LESD5D5-0CT1G,
D2,0402,1,XL-1005UYC,
D3,0402,1,XL-1005UWC,
D6,0402,1,XL-1005UBC,
F1,K1812L30012DR,1,K1812L30012DR,
J1,PinHeader_2x01_P2.54mm_Vertical,1,Conn_02x01,
J2,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J3,CONN_HB9500-9.5-8P_KAN,1,HB9500M-9.5-8P,
J5,CUI_UJC-HP-3-SMT-TR,1,UJC-HP-3-SMT-TR,
"L1, L2",0402,2,HCB1005KF-121T20,
"Q1, Q2",SOT-23_Handsoldering,2,NMOS,
Q3,TO-252-2,1,30N06,
"R1, R17, R18, R20, R21, R3, R30, R31, R32, R39, R44, R45",0201,12,10k,
"R10, R11",0201,2,5.1k,
"R12, R2, R9",0201,3,4.7k,
"R14, R15, R16, R19, R22, R23, R26, R35, R38, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67",0201,21,2.2k,
"R24, R25, R36, R37, R49, R50, R7, R8",0201,8,510,
R27,0201,1,10M,
R28,0201,1,56,
R29,0402,1,190k,
"R40, R41, R42",0201,3,0,
R43,2512,1,100m,
"R46, R47",0201,2,15k,
R48,2512,1,0,
"TP1, TP3, TP5, TP7",TestPoint_THTPad_D2.5mm_Drill1.2mm,4,RH-5117,
"TP2, TP4, TP6, TP8",TestPoint_THTPad_D2.5mm_Drill1.2mm,4,RH-5001,
"U1, U11, U13, U15, U16, U17, U3, U5, U7, U9",SOT-23-5,10,OPA333xxDBV,
"U10, U6",SO-8_3.9x4.9mm_P1.27mm,2,CC6920SO-10A,
"U12, U4",DGS0010A_M,2,ADS1115IDGSR,
U14,SO-8_3.9x4.9mm_P1.27mm,1,CC6920SO-5A,
U2,SO-8_3.9x4.9mm_P1.27mm,1,CC6920SO-20A,
U8,SOT-23-6,1,MCP4725xxx-xCH,
