Designator,Mid X,Mid Y,Rotation,Layer
_4,98.0,-116.3,0.0,top
_3,154.9,-116.3,0.0,top
_2,116.965,-116.275,0.0,top
,136.0,-116.325,0.0,top
C1,163.6,-73.8625,270.0,top
C10,94.17,-73.5,180.0,top
C11,101.9075,-94.0,180.0,top
C12,100.8325,-92.15,0.0,top
C13,99.2075,-112.2,0.0,top
C14,169.8625,-86.8,0.0,top
C15,169.5325,-83.4,0.0,top
C16,114.5925,-112.2,180.0,top
C17,111.9925,-92.2,180.0,top
C18,114.6,-111.5,180.0,top
C19,113.8925,-94.0,180.0,top
C2,167.0,-73.4,270.0,top
C20,115.9675,-92.1,180.0,top
C21,96.6375,-70.9575,270.0,top
C22,120.8925,-94.0,180.0,top
C23,119.8325,-92.23,0.0,top
C24,118.1925,-112.2,0.0,top
C25,91.675,-78.9,90.0,top
C27,133.5675,-112.2,180.0,top
C28,112.2,-88.8,90.0,top
C29,130.9925,-92.15,180.0,top
C3,95.585,-112.2,180.0,top
C30,111.5,-88.8,90.0,top
C31,133.5675,-111.5,180.0,top
C34,85.6925,-73.5,0.0,top
C37,137.2075,-112.2,0.0,top
C38,152.5925,-112.2,180.0,top
C39,149.7925,-92.2,180.0,top
C4,150.174998,-88.8,90.0,top
C40,152.5675,-111.5,180.0,top
C41,151.8,-94.0,180.0,top
C42,153.9675,-92.2,180.0,top
C43,128.3925,-60.7,0.0,top
C44,158.8,-94.0,180.0,top
C45,157.6075,-92.2,0.0,top
C46,156.2325,-112.2,0.0,top
C47,121.75,-61.0,90.0,top
C5,92.8925,-92.15,180.0,top
C6,149.474998,-88.8,90.0,top
C7,95.6,-111.5,180.0,top
C8,94.8925,-94.0,180.0,top
C9,96.9,-92.2,180.0,top
D1,168.635,-73.0,0.0,top
D2,167.4925,-66.95,180.0,top
D3,171.4725,-89.8,180.0,top
D4,128.4,-59.6,0.0,top
D6,137.9275,-56.0,180.0,top
F1,125.225,-63.0,0.0,top
J1,168.63,-70.5,0.0,top
J2,168.36,-79.97,90.0,top
J3,126.45,-129.5,0.0,top
J5,126.2,-57.6,180.0,top
L1,165.5025,-73.0,0.0,top
L2,169.0,-84.8975,90.0,top
Q1,155.6075,-82.25,180.0,bottom
Q2,155.6075,-77.025,180.0,bottom
Q3,98.44,-61.7,0.0,top
R1,94.5925,-98.1,0.0,top
R10,126.7,-54.9675,90.0,bottom
R11,125.7,-54.9675,90.0,bottom
R12,169.48,-89.8,0.0,top
R16,152.5075,-82.6575,90.0,bottom
R17,107.4325,-87.0,0.0,top
R18,113.7075,-98.2,0.0,top
R19,169.6325,-77.5,180.0,bottom
R2,165.4925,-67.0,0.0,top
R20,112.4,-98.7,90.0,top
R21,91.2675,-72.4,0.0,top
R22,152.5075,-77.4325,90.0,bottom
R23,103.9,-96.6,90.0,top
R24,112.4,-93.4675,90.0,top
R25,119.4,-93.4675,90.0,top
R26,96.9,-96.6,90.0,top
R27,91.8,-71.15,90.0,top
R28,93.5075,-69.4,0.0,top
R29,83.2,-71.1975,90.0,top
R3,93.3,-98.6325,90.0,top
R30,84.1675,-69.4,180.0,top
R35,97.6,-96.6,90.0,top
R36,131.4,-93.3925,90.0,top
R38,102.2075,-98.1,180.0,top
R39,145.4675,-87.1,180.0,top
R40,130.0925,-99.1,180.0,top
R43,85.55,-64.8,180.0,top
R44,151.5325,-98.2,0.0,top
R45,150.3,-98.7325,90.0,top
R46,96.6,-72.8075,270.0,top
R47,87.4075,-69.4,0.0,top
R48,109.9,-61.6,180.0,top
R49,150.2,-93.4675,90.0,top
R50,157.2,-93.4675,90.0,top
R56,116.6,-96.6,90.0,top
R57,122.9,-96.5925,90.0,top
R58,115.9,-96.6,90.0,top
R59,121.1675,-98.1,180.0,top
R64,154.5,-96.7,90.0,top
R65,160.8,-96.7325,90.0,top
R66,153.8,-96.7,90.0,top
R67,159.1675,-98.2,180.0,top
R7,93.3,-93.4675,90.0,top
R8,100.4,-93.4675,90.0,top
R9,135.8625,-56.0,0.0,top
U1,94.4625,-96.05,180.0,top
U10,136.0,-116.325,90.0,top
U12,145.474998,-89.5,0.0,top
U13,151.4,-96.05,180.0,top
U14,154.9,-116.3,90.0,top
U15,158.4,-96.05,180.0,top
U16,94.2,-71.45,180.0,top
U17,85.7625,-71.45,0.0,top
U2,98.0,-116.3,90.0,top
U3,101.5,-96.05,180.0,top
U4,107.474998,-89.5,0.0,top
U5,113.5,-96.05,180.0,top
U6,116.965,-116.275,90.0,top
U7,120.5,-96.05,180.0,top
U8,94.1375,-78.45,180.0,top
